name	source	layer	lat	lon	country	postalcode
AU09	geonamesandpostcodeinfo	address	-12.4105	130.88	AU	09
AU48	geonamesandpostcodeinfo	address	-18.2579	145.5251	AU	48
AU40	geonamesandpostcodeinfo	address	-27.4262	153.0203	AU	40
AU41	geonamesandpostcodeinfo	address	-27.5653	153.1173	AU	41
AU42	geonamesandpostcodeinfo	address	-27.8997	153.1744	AU	42
AU44	geonamesandpostcodeinfo	address	-26.7843	149.0044	AU	44
AU45	geonamesandpostcodeinfo	address	-26.6445	152.8629	AU	45
AU46	geonamesandpostcodeinfo	address	-25.3121	151.8802	AU	46
AU47	geonamesandpostcodeinfo	address	-22.7841	149.0652	AU	47
AU90	geonamesandpostcodeinfo	address	-27.4679	153.0281	AU	90
AU94	geonamesandpostcodeinfo	address	-33.8816	150.9844	AU	94
AU97	geonamesandpostcodeinfo	address	-33.8816	150.9844	AU	97
AU99	geonamesandpostcodeinfo	address	-20.7151	148.9316	AU	99
AU50	geonamesandpostcodeinfo	address	-34.9163	138.5921	AU	50
AU51	geonamesandpostcodeinfo	address	-34.9198	138.6522	AU	51
AU52	geonamesandpostcodeinfo	address	-35.9458	139.3913	AU	52
AU53	geonamesandpostcodeinfo	address	-34.4364	139.7679	AU	53
AU54	geonamesandpostcodeinfo	address	-33.4256	138.6445	AU	54
AU55	geonamesandpostcodeinfo	address	-34.1804	137.8849	AU	55
AU56	geonamesandpostcodeinfo	address	-33.3223	135.5103	AU	56
AU57	geonamesandpostcodeinfo	address	-30.9714	137.2392	AU	57
AU58	geonamesandpostcodeinfo	address	-34.9287	138.5986	AU	58
AU59	geonamesandpostcodeinfo	address	-34.9042	138.5758	AU	59
AU70	geonamesandpostcodeinfo	address	-42.7708	147.2652	AU	70
AU71	geonamesandpostcodeinfo	address	-42.8335	147.2225	AU	71
AU72	geonamesandpostcodeinfo	address	-41.1414	147.2116	AU	72
AU73	geonamesandpostcodeinfo	address	-41.2616	146.0182	AU	73
AU74	geonamesandpostcodeinfo	address	-41.968	145.4425	AU	74
AU78	geonamesandpostcodeinfo	address	-42.8794	147.3294	AU	78
AU79	geonamesandpostcodeinfo	address	-41.4163	147.0623	AU	79
AU30	geonamesandpostcodeinfo	address	-37.7491	144.9198	AU	30
AU31	geonamesandpostcodeinfo	address	-37.882	145.1417	AU	31
AU32	geonamesandpostcodeinfo	address	-38.2588	143.5135	AU	32
AU33	geonamesandpostcodeinfo	address	-37.4728	143.1466	AU	33
AU34	geonamesandpostcodeinfo	address	-36.7278	143.2732	AU	34
AU38	geonamesandpostcodeinfo	address	-37.9138	146.9346	AU	38
AU39	geonamesandpostcodeinfo	address	-38.3876	145.7933	AU	39
AU80	geonamesandpostcodeinfo	address	-37.8147	144.9669	AU	80
AU81	geonamesandpostcodeinfo	address	-37.814	144.9633	AU	81
AU82	geonamesandpostcodeinfo	address	-37.814	144.9633	AU	82
AU83	geonamesandpostcodeinfo	address	-37.814	144.9633	AU	83
AU86	geonamesandpostcodeinfo	address	-37.8421	145.0694	AU	86
AU60	geonamesandpostcodeinfo	address	-31.8089	115.8651	AU	60
AU61	geonamesandpostcodeinfo	address	-32.129	115.8768	AU	61
AU62	geonamesandpostcodeinfo	address	-33.5438	115.7954	AU	62
AU63	geonamesandpostcodeinfo	address	-33.5106	117.6514	AU	63
AU64	geonamesandpostcodeinfo	address	-31.3284	119.7154	AU	64
AU65	geonamesandpostcodeinfo	address	-29.7556	115.3792	AU	65
AU66	geonamesandpostcodeinfo	address	-28.534	117.1066	AU	66
AU67	geonamesandpostcodeinfo	address	-21.0004	118.3973	AU	67
AU68	geonamesandpostcodeinfo	address	-31.9493	115.8568	AU	68
AU69	geonamesandpostcodeinfo	address	-31.9816	115.8463	AU	69
AX22	geonamesandpostcodeinfo	address	60.2192	20.2533	AX	22
AZ01	geonamesandpostcodeinfo	address	40.4982	49.7582	AZ	01
AZ04	geonamesandpostcodeinfo	address	40.0371	47.3817	AZ	04
AZ02	geonamesandpostcodeinfo	address	40.0619	47.0684	AZ	02
AZ03	geonamesandpostcodeinfo	address	40.5915	47.4593	AZ	03
AZ05	geonamesandpostcodeinfo	address	41.1204	45.516	AZ	05
AZ06	geonamesandpostcodeinfo	address	40.5431	48.3663	AZ	06
AZ18	geonamesandpostcodeinfo	address	39.9378	48.929	AZ	18
AZ07	geonamesandpostcodeinfo	address	38.5158	48.8372	AZ	07
AZ10	geonamesandpostcodeinfo	address	39.9179	49.2168	AZ	10
AZ11	geonamesandpostcodeinfo	address	40.3777	49.892	AZ	11
AZ08	geonamesandpostcodeinfo	address	41.7032	46.359	AZ	08
AZ09	geonamesandpostcodeinfo	address	40.3947	47.1075	AZ	09
AZ12	geonamesandpostcodeinfo	address	39.7763	47.6371	AZ	12
AZ13	geonamesandpostcodeinfo	address	39.5868	48.54	AZ	13
AZ15	geonamesandpostcodeinfo	address	39.2193	48.48	AZ	15
AZ16	geonamesandpostcodeinfo	address	40.5125	46.0527	AZ	16
AZ17	geonamesandpostcodeinfo	address	41.2205	48.8803	AZ	17
AZ19	geonamesandpostcodeinfo	address	39.5577	47.4749	AZ	19
AZ21	geonamesandpostcodeinfo	address	40.61	45.6948	AZ	21
AZ20	geonamesandpostcodeinfo	address	40.6828	46.3606	AZ	20
AZ22	geonamesandpostcodeinfo	address	40.6014	46.6723	AZ	22
AZ23	geonamesandpostcodeinfo	address	40.5928	47.8016	AZ	23
AZ25	geonamesandpostcodeinfo	address	40.617	46.3129	AZ	25
AZ24	geonamesandpostcodeinfo	address	40.0817	48.8907	AZ	24
AZ30	geonamesandpostcodeinfo	address	39.8413	47.9826	AZ	30
AZ31	geonamesandpostcodeinfo	address	40.7536	48.1178	AZ	31
AZ32	geonamesandpostcodeinfo	address	40.1098	46.0445	AZ	32
AZ33	geonamesandpostcodeinfo	address	40.2954	48.1878	AZ	33
AZ41	geonamesandpostcodeinfo	address	39.5988	46.5504	AZ	41
AZ42	geonamesandpostcodeinfo	address	38.7685	48.8004	AZ	42
AZ43	geonamesandpostcodeinfo	address	38.7559	48.4478	AZ	43
AZ44	geonamesandpostcodeinfo	address	39.0192	48.6828	AZ	44
AZ45	geonamesandpostcodeinfo	address	40.7639	47.0595	AZ	45
AZ46	geonamesandpostcodeinfo	address	40.5082	46.8203	AZ	46
AZ47	geonamesandpostcodeinfo	address	39.3933	49.0988	AZ	47
AZ48	geonamesandpostcodeinfo	address	41.0092	47.4915	AZ	48
AZ36	geonamesandpostcodeinfo	address	40.9183	47.8157	AZ	36
AZ34	geonamesandpostcodeinfo	address	41.4161	46.8494	AZ	34
AZ35	geonamesandpostcodeinfo	address	41.1478	45.2602	AZ	35
AZ37	geonamesandpostcodeinfo	address	40.5744	48.8662	AZ	37
AZ40	geonamesandpostcodeinfo	address	41.3344	48.5476	AZ	40
AZ39	geonamesandpostcodeinfo	address	39.3444	46.5818	AZ	39
AZ38	geonamesandpostcodeinfo	address	41.4807	48.3501	AZ	38
AZ49	geonamesandpostcodeinfo	address	39.8945	48.4589	AZ	49
AZ54	geonamesandpostcodeinfo	address	40.0119	48.5892	AZ	54
AZ55	geonamesandpostcodeinfo	address	41.137	47.1682	AZ	55
AZ52	geonamesandpostcodeinfo	address	39.6408	48.9943	AZ	52
AZ56	geonamesandpostcodeinfo	address	40.6247	48.6429	AZ	56
AZ57	geonamesandpostcodeinfo	address	40.8501	46.0449	AZ	57
AZ51	geonamesandpostcodeinfo	address	40.8055	46.3952	AZ	51
AZ53	geonamesandpostcodeinfo	address	41.0716	49.0978	AZ	53
AZ50	geonamesandpostcodeinfo	address	40.5911	49.6619	AZ	50
AZ58	geonamesandpostcodeinfo	address	39.7607	46.766	AZ	58
AZ59	geonamesandpostcodeinfo	address	40.4031	46.9727	AZ	59
AZ60	geonamesandpostcodeinfo	address	40.9713	45.6341	AZ	60
AZ61	geonamesandpostcodeinfo	address	40.4514	47.6922	AZ	61
AZ27	geonamesandpostcodeinfo	address	41.5338	48.7353	AZ	27
AZ26	geonamesandpostcodeinfo	address	39.8177	46.7528	AZ	26
AZ80	geonamesandpostcodeinfo	address	40.8912	49.2093	AZ	80
AZ29	geonamesandpostcodeinfo	address	39.913	46.7903	AZ	29
AZ28	geonamesandpostcodeinfo	address	39.795	47.1117	AZ	28
AZ65	geonamesandpostcodeinfo	address	38.9146	48.2353	AZ	65
AZ66	geonamesandpostcodeinfo	address	40.6091	47.1137	AZ	66
AZ64	geonamesandpostcodeinfo	address	39.0837	46.6599	AZ	64
AZ62	geonamesandpostcodeinfo	address	41.5661	46.6278	AZ	62
AZ63	geonamesandpostcodeinfo	address	40.2076	47.6553	AZ	63
BD10	geonamesandpostcodeinfo	address	23.729	90.4112	BD	10
BD11	geonamesandpostcodeinfo	address	23.9996	90.4222	BD	11
BD12	geonamesandpostcodeinfo	address	23.7849	90.407	BD	12
BD13	geonamesandpostcodeinfo	address	23.7387	90.2889	BD	13
BD78	geonamesandpostcodeinfo	address	23.4545	89.7981	BD	78
BD17	geonamesandpostcodeinfo	address	24.1532	90.4781	BD	17
BD80	geonamesandpostcodeinfo	address	23.2425	90.4119	BD	80
BD81	geonamesandpostcodeinfo	address	23.1791	89.8559	BD	81
BD23	geonamesandpostcodeinfo	address	24.3207	90.9307	BD	23
BD79	geonamesandpostcodeinfo	address	23.1992	90.1854	BD	79
BD18	geonamesandpostcodeinfo	address	23.849	89.9101	BD	18
BD15	geonamesandpostcodeinfo	address	23.5184	90.4005	BD	15
BD14	geonamesandpostcodeinfo	address	23.7135	90.5546	BD	14
BD16	geonamesandpostcodeinfo	address	23.9954	90.7012	BD	16
BD77	geonamesandpostcodeinfo	address	23.7325	89.5692	BD	77
BD19	geonamesandpostcodeinfo	address	24.2648	90.0078	BD	19
BD93	geonamesandpostcodeinfo	address	22.7207	89.7106	BD	93
BD72	geonamesandpostcodeinfo	address	23.6545	88.8658	BD	72
BD74	geonamesandpostcodeinfo	address	23.1452	89.1822	BD	74
BD73	geonamesandpostcodeinfo	address	23.4673	89.1332	BD	73
BD90	geonamesandpostcodeinfo	address	22.8404	89.5392	BD	90
BD91	geonamesandpostcodeinfo	address	22.8174	89.5648	BD	91
BD92	geonamesandpostcodeinfo	address	22.7917	89.4173	BD	92
BD70	geonamesandpostcodeinfo	address	23.8998	89.1085	BD	70
BD76	geonamesandpostcodeinfo	address	23.383	89.4665	BD	76
BD71	geonamesandpostcodeinfo	address	23.7431	88.685	BD	71
BD75	geonamesandpostcodeinfo	address	23.1368	89.638	BD	75
BD94	geonamesandpostcodeinfo	address	22.5918	89.1555	BD	94
BD58	geonamesandpostcodeinfo	address	24.7986	89.2818	BD	58
BD59	geonamesandpostcodeinfo	address	25.0971	89.1033	BD	59
BD65	geonamesandpostcodeinfo	address	24.9091	88.7179	BD	65
BD64	geonamesandpostcodeinfo	address	24.3288	89.0308	BD	64
BD63	geonamesandpostcodeinfo	address	24.691	88.3091	BD	63
BD66	geonamesandpostcodeinfo	address	24.1075	89.3638	BD	66
BD60	geonamesandpostcodeinfo	address	24.3644	88.6049	BD	60
BD61	geonamesandpostcodeinfo	address	24.3663	88.605	BD	61
BD62	geonamesandpostcodeinfo	address	24.5149	88.6631	BD	62
BD67	geonamesandpostcodeinfo	address	24.4117	89.5142	BD	67
BD46	geonamesandpostcodeinfo	address	21.839	92.3415	BD	46
BD34	geonamesandpostcodeinfo	address	23.9247	91.0928	BD	34
BD36	geonamesandpostcodeinfo	address	23.2507	90.754	BD	36
BD40	geonamesandpostcodeinfo	address	22.3455	91.8342	BD	40
BD41	geonamesandpostcodeinfo	address	22.2225	91.8412	BD	41
BD42	geonamesandpostcodeinfo	address	22.3948	91.8365	BD	42
BD43	geonamesandpostcodeinfo	address	22.4567	91.8314	BD	43
BD35	geonamesandpostcodeinfo	address	23.3716	91.0125	BD	35
BD47	geonamesandpostcodeinfo	address	21.298	92.1015	BD	47
BD39	geonamesandpostcodeinfo	address	22.999	91.422	BD	39
BD44	geonamesandpostcodeinfo	address	23.0222	91.9808	BD	44
BD37	geonamesandpostcodeinfo	address	23.109	90.9016	BD	37
BD38	geonamesandpostcodeinfo	address	22.9798	91.1233	BD	38
BD45	geonamesandpostcodeinfo	address	22.4922	92.2281	BD	45
BD87	geonamesandpostcodeinfo	address	22.3136	90.1012	BD	87
BD82	geonamesandpostcodeinfo	address	22.8063	90.3357	BD	82
BD83	geonamesandpostcodeinfo	address	22.3161	90.7184	BD	83
BD84	geonamesandpostcodeinfo	address	22.5867	90.1818	BD	84
BD86	geonamesandpostcodeinfo	address	22.2681	90.394	BD	86
BD85	geonamesandpostcodeinfo	address	22.5072	90.0438	BD	85
BD33	geonamesandpostcodeinfo	address	24.3713	91.4413	BD	33
BD32	geonamesandpostcodeinfo	address	24.514	91.8629	BD	32
BD30	geonamesandpostcodeinfo	address	24.8937	91.5765	BD	30
BD31	geonamesandpostcodeinfo	address	24.7905	91.886	BD	31
BD52	geonamesandpostcodeinfo	address	25.5594	88.9094	BD	52
BD57	geonamesandpostcodeinfo	address	25.4152	89.4939	BD	57
BD56	geonamesandpostcodeinfo	address	25.7193	89.6464	BD	56
BD55	geonamesandpostcodeinfo	address	26.1669	89.1228	BD	55
BD53	geonamesandpostcodeinfo	address	26.0142	88.9168	BD	53
BD50	geonamesandpostcodeinfo	address	25.9689	88.6808	BD	50
BD54	geonamesandpostcodeinfo	address	25.7066	89.2944	BD	54
BD51	geonamesandpostcodeinfo	address	25.9522	88.2003	BD	51
BD20	geonamesandpostcodeinfo	address	24.6794	89.9036	BD	20
BD22	geonamesandpostcodeinfo	address	24.6768	90.5347	BD	22
BD24	geonamesandpostcodeinfo	address	24.9138	90.7623	BD	24
BD21	geonamesandpostcodeinfo	address	25.0777	90.0946	BD	21
BE10	geonamesandpostcodeinfo	address	50.8462	4.3505	BE	10
BE11	geonamesandpostcodeinfo	address	50.8379	4.3672	BE	11
BE12	geonamesandpostcodeinfo	address	50.8483	4.3739	BE	12
BE20	geonamesandpostcodeinfo	address	51.2154	4.4052	BE	20
BE21	geonamesandpostcodeinfo	address	51.2152	4.4424	BE	21
BE22	geonamesandpostcodeinfo	address	51.1589	4.7814	BE	22
BE23	geonamesandpostcodeinfo	address	51.3712	4.8542	BE	23
BE24	geonamesandpostcodeinfo	address	51.1618	4.9984	BE	24
BE25	geonamesandpostcodeinfo	address	51.1326	4.5775	BE	25
BE26	geonamesandpostcodeinfo	address	51.1788	4.403	BE	26
BE28	geonamesandpostcodeinfo	address	51.061	4.3857	BE	28
BE29	geonamesandpostcodeinfo	address	51.3229	4.5516	BE	29
BE15	geonamesandpostcodeinfo	address	50.7527	4.1533	BE	15
BE16	geonamesandpostcodeinfo	address	50.7611	4.2346	BE	16
BE17	geonamesandpostcodeinfo	address	50.8667	4.1825	BE	17
BE18	geonamesandpostcodeinfo	address	50.9404	4.3882	BE	18
BE19	geonamesandpostcodeinfo	address	50.9212	4.4945	BE	19
BE30	geonamesandpostcodeinfo	address	50.8411	4.6235	BE	30
BE31	geonamesandpostcodeinfo	address	50.9736	4.6796	BE	31
