name	source	postalcode	layer	lat	lon
DK80	geonames2d	80	postalcode	55.817	11.5864
DK10	geonames2d	10	postalcode	55.6759	12.5655
DK11	geonames2d	11	postalcode	55.6759	12.5655
DK12	geonames2d	12	postalcode	55.6759	12.5655
DK13	geonames2d	13	postalcode	55.6759	12.5655
DK14	geonames2d	14	postalcode	55.6759	12.5655
DK15	geonames2d	15	postalcode	55.6758	12.5655
DK16	geonames2d	16	postalcode	55.6759	12.5655
DK17	geonames2d	17	postalcode	55.6759	12.5655
DK21	geonames2d	21	postalcode	55.6759	12.5655
DK22	geonames2d	22	postalcode	55.6759	12.5655
DK23	geonames2d	23	postalcode	55.6759	12.5655
DK24	geonames2d	24	postalcode	55.6759	12.5655
DK91	geonames2d	91	postalcode	55.6759	12.5655
DK90	geonames2d	90	postalcode	57.2723	10.1404
DK99	geonames2d	99	postalcode	57.5551	10.4887
DK40	geonames2d	40	postalcode	55.6628	12.0502
DK96	geonames2d	96	postalcode	56.7731	9.4275
DK25	geonames2d	25	postalcode	55.6581	12.5241
DK82	geonames2d	82	postalcode	56.1697	10.2042
DK89	geonames2d	89	postalcode	56.4866	10.2607
DK85	geonames2d	85	postalcode	56.38	10.5656
DK86	geonames2d	86	postalcode	56.126	9.685
DK74	geonames2d	74	postalcode	56.1748	9.042
DK76	geonames2d	76	postalcode	56.5116	8.3635
DK84	geonames2d	84	postalcode	56.2592	10.1404
DK71	geonames2d	71	postalcode	55.7613	9.484
DK83	geonames2d	83	postalcode	56.1003	10.1423
DK88	geonames2d	88	postalcode	56.3828	9.6479
DK87	geonames2d	87	postalcode	55.8741	9.7028
DK73	geonames2d	73	postalcode	55.9116	9.2627
DK78	geonames2d	78	postalcode	56.5506	8.9437
DK69	geonames2d	69	postalcode	56.1419	8.4606
DK95	geonames2d	95	postalcode	56.7591	9.9019
DK68	geonames2d	68	postalcode	55.7079	8.436
DK77	geonames2d	77	postalcode	56.9162	8.611
DK75	geonames2d	75	postalcode	56.3703	8.6756
DK94	geonames2d	94	postalcode	57.2083	9.7304
DK92	geonames2d	92	postalcode	56.9733	9.9233
DK93	geonames2d	93	postalcode	57.1592	10.1831
DK98	geonames2d	98	postalcode	57.4832	10.1235
DK97	geonames2d	97	postalcode	57.323	10.0722
DK79	geonames2d	79	postalcode	56.7619	8.6836
DK47	geonames2d	47	postalcode	55.0658	12.0214
DK45	geonames2d	45	postalcode	55.7995	11.5044
DK49	geonames2d	49	postalcode	54.8106	11.3683
DK46	geonames2d	46	postalcode	55.3768	12.1389
DK42	geonames2d	42	postalcode	55.4005	11.3979
DK41	geonames2d	41	postalcode	55.4438	11.7559
DK48	geonames2d	48	postalcode	54.7491	11.8047
DK43	geonames2d	43	postalcode	55.5978	11.8023
DK44	geonames2d	44	postalcode	55.6576	11.3576
DK62	geonames2d	62	postalcode	55.0209	9.0139
DK55	geonames2d	55	postalcode	55.3872	10.2469
DK59	geonames2d	59	postalcode	54.8763	10.643
DK53	geonames2d	53	postalcode	55.471	10.6045
DK67	geonames2d	67	postalcode	55.4221	8.6529
DK65	geonames2d	65	postalcode	55.2229	9.18
DK60	geonames2d	60	postalcode	55.4839	9.4787
DK57	geonames2d	57	postalcode	55.153	10.5014
DK54	geonames2d	54	postalcode	55.4545	10.1625
DK56	geonames2d	56	postalcode	55.2107	10.1198
DK64	geonames2d	64	postalcode	54.994	9.7903
DK63	geonames2d	63	postalcode	54.9065	9.4086
DK58	geonames2d	58	postalcode	55.2013	10.687
DK66	geonames2d	66	postalcode	55.5209	9.012
DK70	geonames2d	70	postalcode	55.5838	9.7265
DK72	geonames2d	72	postalcode	55.8348	8.8754
DK61	geonames2d	61	postalcode	55.2538	9.4898
DK52	geonames2d	52	postalcode	55.3902	10.5201
DK50	geonames2d	50	postalcode	55.3959	10.3883
DK09	geonames2d	09	postalcode	56.8122	10.6456
DK08	geonames2d	08	postalcode	55.6471	12.2742
BY22	geonames2d	22	postalcode	53.1668	26.6377
BY24	geonames2d	24	postalcode	52.4127	29.8467
BY23	geonames2d	23	postalcode	53.6702	25.1722
BY21	geonames2d	21	postalcode	54.5791	29.5208
IT65	geonames2d	65	postalcode	42.3643	14.0262
IT66	geonames2d	66	postalcode	42.1344	14.3645
IT64	geonames2d	64	postalcode	42.6477	13.7496
IT67	geonames2d	67	postalcode	42.1325	13.5317
IT85	geonames2d	85	postalcode	40.4672	15.8539
IT75	geonames2d	75	postalcode	40.4257	16.4456
IT89	geonames2d	89	postalcode	38.3396	15.9927
IT88	geonames2d	88	postalcode	38.9545	16.574
IT87	geonames2d	87	postalcode	39.4802	16.255
IT82	geonames2d	82	postalcode	41.165	14.7076
